,Cross-1,Average accuracy
0,0.8928571428571429,0.8929
1,0.75,0.75
2,0.7142857142857143,0.7143
3,0.8214285714285714,0.8214
4,0.7142857142857143,0.7143
5,0.6785714285714286,0.6786
6,0.8928571428571429,0.8929
7,0.9285714285714286,0.9286
8,0.6428571428571429,0.6429
9,0.7142857142857143,0.7143
10,0.7857142857142857,0.7857
11,0.8214285714285714,0.8214
12,0.7142857142857143,0.7143
13,0.9642857142857143,0.9643
14,0.75,0.75
15,0.9285714285714286,0.9286
16,0.6785714285714286,0.6786
17,0.9642857142857143,0.9643
18,0.6428571428571429,0.6429
19,0.8214285714285714,0.8214
Average accuracy,0.7910714285714284,0.791085
